goodsNo,goodsName,goodsLinkUrl,thumbnail,displayGenderText,isSoldOut,normalPrice,price,saleRate,brand,brandName,brandLinkUrl,reviewCount,reviewScore,isOptionVisible,isAd,adTooltip,plusDeliveryGuideText,infoLabelList,imageLabelList,clickTrackers,impressionTrackers,snap,score,isPlusDelivery,usedConditionGrade
3032898,드로잉 플라워 트레이닝 팬츠_오트밀,https://www.musinsa.com/products/3032898,https://image.msscdn.net/images/goods_img/20230119/3032898/3032898_16740929806592_500.jpg,공용,False,49000,24500,50,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,21,96,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4679297,(우먼) 스트라이프 스웻셔츠_그레이,https://www.musinsa.com/products/4679297,https://image.msscdn.net/images/goods_img/20241224/4679297/4679297_17392534243537_500.jpg,여성,False,79000,48980,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,2,100,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4679272,(우먼) 라인 빅카라 집업_블랙,https://www.musinsa.com/products/4679272,https://image.msscdn.net/images/goods_img/20241224/4679272/4679272_17392529558755_500.jpg,여성,False,79000,48980,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,0,0,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4679271,(우먼) 라인 빅카라 집업_그레이,https://www.musinsa.com/products/4679271,https://image.msscdn.net/images/goods_img/20241224/4679271/4679271_17392529631374_500.jpg,여성,False,79000,48980,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,1,100,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
3974531,(우먼) 스카시 브이넥 반팔 니트_아이보리,https://www.musinsa.com/products/3974531,https://image.msscdn.net/images/goods_img/20240321/3974531/3974531_17134063455989_500.jpg,여성,False,59000,47200,20,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,1,80,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
3974530,(우먼) 스카시 브이넥 반팔 니트_레드,https://www.musinsa.com/products/3974530,https://image.msscdn.net/images/goods_img/20240321/3974530/3974530_17134063911572_500.jpg,여성,False,59000,47200,20,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,16,98,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4499452,아가일 패턴 니트_네이비,https://www.musinsa.com/products/4499452,https://image.msscdn.net/images/goods_img/20241008/4499452/4499452_17295188022448_500.jpg,남성,False,79000,44240,44,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,2,90,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5317975,리얼 레더 벨트_블랙,https://www.musinsa.com/products/5317975,https://image.msscdn.net/images/goods_img/20250813/5317975/5317975_17575959467914_500.jpg,남성,False,49000,44100,10,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,0,0,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
3138552,TR 세미와이드 팬츠_3 COLOR,https://www.musinsa.com/products/3138552,https://image.msscdn.net/images/goods_img/20230310/3138552/3138552_17113268407749_500.jpg,공용,False,54000,43200,20,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,155,92,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4679303,(우먼) 레이어드 니트 가디건_그레이,https://www.musinsa.com/products/4679303,https://image.msscdn.net/images/goods_img/20241224/4679303/4679303_17392529090138_500.jpg,여성,False,69000,42780,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,0,0,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
