likeType,relationId,count,liked
GOODS,4907316,1534,False
GOODS,4730997,687,False
GOODS,4730987,592,False
GOODS,3052090,3340,False
GOODS,4305772,1435,False
GOODS,2322886,1653,False
GOODS,4995115,3614,False
GOODS,4363640,1026,False
GOODS,5358824,194,False
GOODS,2361829,1948,False
GOODS,2120464,2347,False
GOODS,3305118,844,False
GOODS,4594142,375,False
GOODS,1925442,2346,False
GOODS,5384973,87,False
GOODS,2322887,3026,False
GOODS,4330052,1141,False
GOODS,4041014,1189,False
GOODS,3052063,1608,False
GOODS,5220313,412,False
GOODS,5016409,665,False
GOODS,5385027,75,False
GOODS,2322837,9339,False
GOODS,2139144,27474,False
GOODS,4739871,551,False
GOODS,4330051,1863,False
GOODS,3255472,1556,False
GOODS,3783490,1621,False
GOODS,3030704,2349,False
GOODS,2552399,6962,False
GOODS,2510192,7284,False
GOODS,4934378,1025,False
GOODS,5384936,111,False
GOODS,3489523,739,False
GOODS,3052036,10583,False
GOODS,3037100,1756,False
GOODS,1852144,1377,False
GOODS,3614230,2290,False
GOODS,3274392,3063,False
GOODS,5358729,216,False
GOODS,3829998,552,False
GOODS,3783848,1423,False
GOODS,3479628,709,False
GOODS,3088138,1652,False
GOODS,2361831,1252,False
GOODS,1305450,2599,False
GOODS,4305628,810,False
GOODS,3783762,1000,False
GOODS,2322836,9718,False
GOODS,3154710,1221,False
GOODS,4041069,3698,False
GOODS,3284748,918,False
GOODS,2818892,2256,False
GOODS,1033848,2710,False
GOODS,4739860,582,False
GOODS,4314891,958,False
GOODS,3830017,911,False
GOODS,3052089,1369,False
GOODS,5385023,86,False
GOODS,5384977,51,False
GOODS,3052064,1020,False
GOODS,4730960,582,False
GOODS,3235079,992,False
GOODS,1958905,3751,False
GOODS,4995040,463,False
GOODS,1305386,4755,False
GOODS,4306118,683,False
GOODS,3154691,1384,False
GOODS,3030712,1712,False
GOODS,5384978,105,False
GOODS,4730994,442,False
GOODS,4363622,1572,False
GOODS,4041003,1954,False
GOODS,3175685,6125,False
GOODS,3479626,1098,False
GOODS,5068731,1858,False
GOODS,4305877,664,False
GOODS,4305642,461,False
GOODS,3783761,1154,False
GOODS,5384976,50,False
GOODS,2480237,4253,False
GOODS,4934381,646,False
GOODS,4730995,778,False
GOODS,4730988,643,False
GOODS,4327314,696,False
GOODS,5068734,393,False
GOODS,3052033,3121,False
GOODS,2361830,2132,False
GOODS,4702369,484,False
GOODS,4305956,1908,False
GOODS,3031561,2271,False
GOODS,3783779,681,False
GOODS,5384972,60,False
GOODS,3154692,968,False
GOODS,1852238,976,False
GOODS,1624044,7000,False
GOODS,4934379,784,False
GOODS,1925228,2871,False
GOODS,3037122,3795,False
GOODS,4907284,611,False
GOODS,5016411,638,False
GOODS,4702402,661,False
GOODS,4702401,838,False
GOODS,2509149,1612,False
GOODS,2120357,645,False
GOODS,4934377,1257,False
GOODS,4739968,837,False
GOODS,4739939,773,False
GOODS,3829999,482,False
GOODS,1145197,2835,False
GOODS,4702370,513,False
GOODS,3489622,2196,False
GOODS,5384870,56,False
GOODS,348145,990,False
GOODS,5068727,440,False
GOODS,4594140,341,False
GOODS,4995112,969,False
GOODS,5068735,423,False
GOODS,4327303,605,False
GOODS,3052057,1941,False
GOODS,4538564,532,False
GOODS,3284713,5457,False
GOODS,2510169,4234,False
GOODS,3815300,1058,False
GOODS,3438231,822,False
GOODS,3031567,1120,False
GOODS,2725337,694,False
GOODS,4538553,1121,False
GOODS,4730922,600,False
GOODS,4327210,1230,False
GOODS,2510194,1523,False
GOODS,4062165,1330,False
GOODS,3052434,470,False
GOODS,4305585,312,False
GOODS,4995113,521,False
GOODS,4740195,541,False
GOODS,3966563,619,False
GOODS,4934308,1203,False
GOODS,3783780,951,False
GOODS,4330042,542,False
GOODS,4330039,784,False
GOODS,4301140,868,False
GOODS,4108588,841,False
GOODS,1066105,4005,False
GOODS,3154713,4721,False
GOODS,4739937,488,False
GOODS,4041502,896,False
GOODS,4305756,866,False
GOODS,4330046,1170,False
GOODS,3783743,1240,False
GOODS,3030679,2382,False
GOODS,3823183,1002,False
GOODS,4327215,1270,False
GOODS,4305965,2261,False
GOODS,3235077,1199,False
GOODS,2509172,1520,False
GOODS,3784044,552,False
GOODS,5068729,409,False
GOODS,5068728,399,False
GOODS,4702307,560,False
GOODS,4041527,1188,False
GOODS,3489627,2803,False
GOODS,3847263,762,False
GOODS,4730930,694,False
GOODS,3052436,2305,False
GOODS,4305378,418,False
GOODS,4300486,813,False
GOODS,4934307,1115,False
GOODS,5384970,45,False
GOODS,2774998,3735,False
GOODS,2350515,1520,False
GOODS,4934328,454,False
GOODS,4305970,1108,False
GOODS,1925446,2134,False
GOODS,3614260,3550,False
GOODS,2799745,2665,False
GOODS,2537862,3898,False
GOODS,4305853,573,False
GOODS,4305982,357,False
GOODS,3829240,740,False
GOODS,3154651,1731,False
GOODS,3783778,771,False
GOODS,4730947,744,False
GOODS,4327316,422,False
GOODS,4041174,1426,False
GOODS,4041172,779,False
GOODS,3614227,1203,False
GOODS,3614226,2409,False
GOODS,2818894,3004,False
GOODS,3830016,839,False
GOODS,3591937,1821,False
GOODS,3255473,895,False
GOODS,3088134,887,False
GOODS,3052034,2735,False
GOODS,1946997,5681,False
GOODS,1946922,3618,False
GOODS,2510176,3775,False
GOODS,4990659,596,False
GOODS,3489244,731,False
GOODS,3614287,2946,False
GOODS,2510190,2343,False
GOODS,1033849,2896,False
GOODS,4062198,727,False
GOODS,4305942,518,False
GOODS,4934384,1498,False
GOODS,4306042,1206,False
GOODS,4538555,654,False
GOODS,4538554,571,False
GOODS,4306093,419,False
GOODS,2581638,1495,False
GOODS,885716,6178,False
GOODS,1786160,2569,False
GOODS,4058361,576,False
GOODS,3591940,1277,False
GOODS,3479174,499,False
GOODS,3274393,1597,False
GOODS,4073507,1298,False
GOODS,3783847,658,False
GOODS,3783843,676,False
GOODS,1288281,1274,False
GOODS,3175675,3271,False
GOODS,5146270,366,False
GOODS,3479627,1088,False
GOODS,1305432,1159,False
GOODS,3037187,921,False
GOODS,5385025,55,False
GOODS,4538584,618,False
GOODS,3255478,534,False
GOODS,4934319,376,False
GOODS,3830000,548,False
GOODS,3784116,387,False
GOODS,3847260,535,False
GOODS,3783823,898,False
GOODS,3231183,1197,False
GOODS,4062161,1113,False
GOODS,3438289,455,False
GOODS,2774975,484,False
GOODS,5146271,516,False
GOODS,3175869,1048,False
GOODS,2226794,10483,False
GOODS,3815305,705,False
GOODS,4702380,412,False
GOODS,2738486,457,False
GOODS,4594141,395,False
GOODS,3784045,435,False
GOODS,3784043,661,False
GOODS,1649143,1878,False
GOODS,3030734,2805,False
GOODS,3030725,2052,False
GOODS,4934382,576,False
GOODS,4702399,467,False
GOODS,4041493,543,False
GOODS,4041160,522,False
GOODS,4041072,1600,False
GOODS,4041016,993,False
GOODS,3783844,583,False
GOODS,3231808,354,False
GOODS,3052059,639,False
GOODS,1456516,3332,False
GOODS,1786163,1280,False
GOODS,1786159,1302,False
GOODS,3996400,678,False
GOODS,5384862,56,False
GOODS,4702329,408,False
GOODS,4305383,687,False
GOODS,3438110,763,False
GOODS,4306085,704,False
GOODS,4934317,436,False
GOODS,3591941,1154,False
GOODS,3489243,899,False
GOODS,3489242,744,False
GOODS,2919571,446,False
GOODS,3648036,4997,False
GOODS,3783820,478,False
GOODS,3784118,467,False
GOODS,3783849,593,False
GOODS,3231805,530,False
GOODS,3088140,1163,False
GOODS,3052073,1323,False
GOODS,3052068,2257,False
GOODS,1903746,397,False
GOODS,1020270,1709,False
GOODS,538281,1122,False
GOODS,1333400,834,False
GOODS,2774701,321,False
GOODS,3476412,374,False
GOODS,5068732,2095,False
GOODS,3255743,352,False
GOODS,4934326,477,False
GOODS,4306107,271,False
GOODS,4934380,593,False
GOODS,4041167,511,False
GOODS,3154712,1393,False
GOODS,5384971,32,False
GOODS,3274385,803,False
GOODS,2738310,629,False
GOODS,3255734,342,False
GOODS,4057650,300,False
GOODS,5385022,47,False
GOODS,2537649,784,False
GOODS,5384871,57,False
GOODS,4702383,365,False
GOODS,4058360,522,False
GOODS,3255745,380,False
GOODS,3255744,412,False
GOODS,348148,2812,False
GOODS,4730928,357,False
GOODS,3255746,306,False
GOODS,4108592,822,False
GOODS,2510254,911,False
GOODS,2510177,2992,False
GOODS,2510174,1625,False
GOODS,4306002,370,False
GOODS,4041114,392,False
GOODS,3479176,1191,False
GOODS,3479172,477,False
GOODS,3347025,1112,False
GOODS,2581577,642,False
GOODS,2226793,7499,False
GOODS,1786151,214,False
GOODS,5016475,362,False
GOODS,4740182,433,False
GOODS,4327164,448,False
GOODS,4306061,287,False
GOODS,4041154,489,False
GOODS,3783842,389,False
GOODS,3577428,433,False
GOODS,3577425,428,False
GOODS,3577424,265,False
GOODS,3479550,664,False
GOODS,1903748,559,False
GOODS,1130405,781,False
GOODS,4058308,647,False
GOODS,4058307,509,False
GOODS,3815301,620,False
GOODS,1037227,813,False
GOODS,3255752,336,False
GOODS,4108590,342,False
GOODS,4730950,672,False
GOODS,4702398,407,False
GOODS,4702397,371,False
GOODS,4327134,295,False
GOODS,4041182,625,False
GOODS,4041175,606,False
GOODS,4041170,503,False
GOODS,4041169,501,False
GOODS,4041164,552,False
GOODS,4040908,368,False
GOODS,3815261,320,False
GOODS,3783846,464,False
GOODS,3479528,324,False
GOODS,3479525,344,False
GOODS,4058397,376,False
GOODS,3052356,743,False
GOODS,4041078,305,False
GOODS,3052072,562,False
GOODS,2738299,817,False
GOODS,4057649,281,False
GOODS,2537861,1282,False
GOODS,2581505,489,False
GOODS,3255740,480,False
GOODS,3255739,382,False
GOODS,3037157,418,False
GOODS,2510175,1608,False
GOODS,4062194,340,False
GOODS,4041129,332,False
GOODS,3256608,560,False
GOODS,750541,709,False
GOODS,4479863,1421,False
GOODS,3052311,432,False
GOODS,4041147,339,False
GOODS,550829,1196,False
GOODS,1130409,744,False
GOODS,1130407,834,False
GOODS,434861,7279,False
GOODS,3274396,326,False
GOODS,2818154,370,False
GOODS,1925685,1020,False
GOODS,3274380,318,False
GOODS,3274379,326,False
GOODS,3231300,363,False
GOODS,1333399,759,False
GOODS,1130406,830,False
GOODS,5385021,27,False
GOODS,4934330,1190,False
GOODS,4934320,624,False
GOODS,4702396,411,False
GOODS,4306144,560,False
GOODS,4306131,541,False
GOODS,4306102,253,False
GOODS,4306101,242,False
GOODS,4306075,454,False
GOODS,4306069,232,False
GOODS,4306051,564,False
GOODS,4306038,412,False
GOODS,4108593,339,False
GOODS,4062153,355,False
GOODS,4058362,721,False
GOODS,4058257,412,False
GOODS,4041180,517,False
GOODS,4041082,323,False
GOODS,4040955,410,False
GOODS,4040928,385,False
GOODS,4040914,422,False
GOODS,3847262,1270,False
GOODS,3847261,446,False
GOODS,3815260,372,False
GOODS,3784117,510,False
GOODS,3783851,391,False
GOODS,3783850,339,False
GOODS,3783845,370,False
GOODS,3783841,333,False
GOODS,3783821,445,False
GOODS,3783819,367,False
GOODS,3783818,489,False
GOODS,3783805,467,False
GOODS,3783804,678,False
GOODS,3591939,941,False
GOODS,3591861,993,False
GOODS,3591812,957,False
GOODS,3577426,618,False
GOODS,3489629,874,False
GOODS,3489628,854,False
GOODS,3479623,627,False
GOODS,3479578,495,False
GOODS,3479556,452,False
GOODS,3479200,481,False
GOODS,3479199,489,False
GOODS,3479173,468,False
GOODS,3479171,700,False
GOODS,3479170,602,False
GOODS,3479120,356,False
GOODS,3476418,455,False
GOODS,3438293,314,False
GOODS,3438291,363,False
GOODS,3438290,1910,False
GOODS,3438147,1073,False
GOODS,3274381,417,False
GOODS,3256604,371,False
GOODS,3255751,382,False
GOODS,3255750,830,False
GOODS,3255749,1537,False
GOODS,3255747,304,False
GOODS,3255742,356,False
GOODS,3231301,496,False
GOODS,3231298,412,False
GOODS,3052435,460,False
GOODS,3052069,1622,False
GOODS,3052047,599,False
GOODS,3052046,536,False
GOODS,3037188,970,False
GOODS,3037135,2076,False
GOODS,2919442,902,False
GOODS,2854535,803,False
GOODS,2825494,3330,False
GOODS,2825479,2141,False
GOODS,2818155,359,False
GOODS,2801863,355,False
GOODS,2801862,298,False
GOODS,2801860,287,False
GOODS,2801859,281,False
GOODS,2774702,309,False
GOODS,2774645,522,False
GOODS,2740336,2481,False
GOODS,2738296,705,False
GOODS,2738058,1369,False
GOODS,2738039,583,False
