likeType,relationId,count,liked
GOODS,1564116,2590,False
GOODS,5353291,90,False
GOODS,5353271,78,False
GOODS,5353276,112,False
GOODS,5312584,177,False
GOODS,4262840,1146,False
GOODS,5369889,114,False
GOODS,1730662,3726,False
GOODS,5441614,55,False
GOODS,5407515,52,False
GOODS,2899416,3208,False
GOODS,5312826,127,False
GOODS,5369797,122,False
GOODS,5407827,47,False
GOODS,4641446,302,False
GOODS,5369842,114,False
GOODS,5370413,70,False
GOODS,5407938,95,False
GOODS,5312589,185,False
GOODS,5407492,87,False
GOODS,5353342,141,False
GOODS,4693490,365,False
GOODS,5469612,44,False
GOODS,5296596,184,False
GOODS,4261904,399,False
GOODS,5312564,108,False
GOODS,4693521,360,False
GOODS,5353662,138,False
GOODS,5353656,117,False
GOODS,4814913,298,False
GOODS,5312536,156,False
GOODS,3773725,3540,False
GOODS,5312593,94,False
GOODS,5441564,73,False
GOODS,4721684,624,False
GOODS,5441628,139,False
GOODS,5441596,79,False
GOODS,5441586,94,False
GOODS,5441576,57,False
GOODS,5407802,65,False
GOODS,5312470,89,False
GOODS,5296600,145,False
GOODS,4423406,445,False
GOODS,5312578,71,False
GOODS,3739822,1219,False
GOODS,5085960,684,False
GOODS,4261348,250,False
GOODS,5369873,78,False
GOODS,5370190,80,False
GOODS,3051242,362,False
GOODS,5370297,90,False
GOODS,1730669,2453,False
GOODS,5312605,75,False
GOODS,5312768,71,False
GOODS,5407914,95,False
GOODS,4261903,370,False
GOODS,3458616,1519,False
GOODS,5085943,410,False
GOODS,5407834,59,False
GOODS,5370435,47,False
GOODS,4736030,380,False
GOODS,5353658,116,False
GOODS,2310670,1059,False
GOODS,5407808,40,False
GOODS,4423410,443,False
GOODS,5441622,55,False
GOODS,5504353,87,False
GOODS,4693539,502,False
GOODS,4721681,172,False
GOODS,4825722,297,False
GOODS,5407517,41,False
GOODS,4736037,289,False
GOODS,5062574,241,False
GOODS,5369848,103,False
GOODS,5369913,55,False
GOODS,5312348,56,False
GOODS,4814916,205,False
GOODS,5370138,53,False
GOODS,5085947,370,False
GOODS,4736239,244,False
GOODS,5407931,91,False
GOODS,5407506,49,False
GOODS,5062581,147,False
GOODS,5370452,182,False
GOODS,5085967,327,False
GOODS,5441555,51,False
GOODS,4262930,1616,False
GOODS,3601091,2208,False
GOODS,4423411,500,False
GOODS,5469585,132,False
GOODS,5469582,136,False
GOODS,5441530,75,False
GOODS,5312746,55,False
GOODS,5407494,72,False
GOODS,5407485,64,False
GOODS,5085956,433,False
GOODS,5370149,69,False
GOODS,5370132,63,False
GOODS,5369836,71,False
GOODS,5441542,85,False
GOODS,5407841,45,False
GOODS,5312832,150,False
GOODS,5504338,115,False
GOODS,5407427,141,False
GOODS,3459598,2951,False
GOODS,3181604,368,False
GOODS,5407512,30,False
GOODS,5370186,45,False
GOODS,4641488,230,False
GOODS,4261098,857,False
GOODS,5407447,41,False
GOODS,5407948,89,False
GOODS,4721676,187,False
GOODS,5312342,36,False
GOODS,5369824,31,False
GOODS,5369812,54,False
GOODS,5369786,55,False
GOODS,5370125,28,False
GOODS,4261347,135,False
GOODS,5353284,68,False
GOODS,5062579,100,False
GOODS,5369803,32,False
GOODS,4641480,247,False
GOODS,5407433,38,False
GOODS,5369826,34,False
GOODS,5369818,40,False
GOODS,4721674,112,False
GOODS,5369805,41,False
GOODS,5369777,45,False
GOODS,5369782,58,False
GOODS,5407452,24,False
GOODS,5407437,32,False
GOODS,5407507,21,False
GOODS,5370182,47,False
GOODS,5369927,30,False
GOODS,5312541,74,False
GOODS,4641484,235,False
GOODS,5085965,172,False
GOODS,4261091,591,False
GOODS,5369789,57,False
GOODS,5407446,16,False
GOODS,4261093,512,False
GOODS,4261092,518,False
GOODS,5504319,16,False
GOODS,5504305,27,False
GOODS,5469618,38,False
GOODS,5469605,49,False
GOODS,5469600,41,False
GOODS,5469593,31,False
GOODS,5407441,22,False
GOODS,5369822,24,False
GOODS,5085963,134,False
GOODS,4641490,160,False
GOODS,4262931,783,False
GOODS,4260760,97,False
GOODS,3601057,1472,False
GOODS,5275962,6749,False
GOODS,1760177,19094,False
GOODS,5275916,6486,False
GOODS,5384864,2725,False
GOODS,3783694,7166,False
GOODS,2098325,37961,False
GOODS,5290694,2479,False
GOODS,5290700,2246,False
GOODS,5384863,1463,False
GOODS,709191,9573,False
GOODS,4702365,3182,False
GOODS,5290721,1838,False
GOODS,5384865,1063,False
GOODS,4702333,2956,False
GOODS,4327239,5272,False
GOODS,4702387,8470,False
GOODS,3438294,3662,False
GOODS,5358816,1029,False
GOODS,5363202,1295,False
GOODS,2119984,44260,False
GOODS,4702360,3932,False
GOODS,4702385,3170,False
GOODS,3438295,2641,False
GOODS,3489623,16979,False
GOODS,5384868,1043,False
GOODS,5358822,1009,False
GOODS,5385029,2492,False
GOODS,4327331,4015,False
GOODS,3783677,12965,False
GOODS,3783687,5292,False
GOODS,5363203,1072,False
GOODS,3840002,4323,False
GOODS,4327248,2188,False
GOODS,2139143,13039,False
GOODS,4424968,8104,False
GOODS,5358821,754,False
GOODS,3489530,9256,False
GOODS,655610,29661,False
GOODS,2139132,12190,False
GOODS,885715,17098,False
GOODS,2322836,9845,False
GOODS,3274287,10795,False
GOODS,5290699,465,False
GOODS,5384939,401,False
GOODS,2226767,45618,False
GOODS,5363204,584,False
GOODS,5358823,454,False
GOODS,5384981,669,False
GOODS,3052416,11167,False
GOODS,3840003,3440,False
GOODS,4702388,2961,False
GOODS,5384980,400,False
GOODS,3154647,12535,False
GOODS,5385028,885,False
GOODS,2322837,9465,False
GOODS,4305404,7967,False
GOODS,4041033,4765,False
GOODS,2422238,9195,False
GOODS,3489531,4676,False
GOODS,5384979,400,False
GOODS,2480238,7977,False
GOODS,5384933,679,False
GOODS,3274288,5525,False
GOODS,4730921,2417,False
GOODS,3783686,4276,False
GOODS,4305674,1987,False
GOODS,2139133,30470,False
GOODS,3783678,5164,False
GOODS,407074,4194,False
GOODS,4073506,9033,False
GOODS,3479101,3758,False
GOODS,5384983,474,False
GOODS,3438298,1860,False
GOODS,4702356,1223,False
GOODS,5384866,247,False
GOODS,5384869,417,False
GOODS,5358732,502,False
GOODS,5384974,604,False
GOODS,407067,30715,False
GOODS,5290720,302,False
GOODS,4730912,1582,False
GOODS,2315115,6224,False
GOODS,1120482,4703,False
GOODS,5384937,443,False
GOODS,4730935,777,False
GOODS,5358778,553,False
GOODS,5358779,629,False
GOODS,2422235,11848,False
GOODS,2367276,9579,False
GOODS,4990661,14188,False
GOODS,5543734,363,False
GOODS,4424970,2805,False
GOODS,5358780,318,False
GOODS,3783695,2093,False
GOODS,5385024,198,False
GOODS,4994883,2343,False
GOODS,5363206,393,False
GOODS,4730918,688,False
GOODS,5358820,404,False
GOODS,4327321,1030,False
GOODS,2818896,7445,False
