goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab
3773719,LAMBSWOOL ROUND NECK CARDIGAN_KHAKI MELANGE,공용,129000,116100,,10,,False,outstanding,1655,96,0
5283166,50S RIDERS SELVEDGE ZIP PANTS_INDIGO,남성,128000,115200,,10,,False,outstanding,21,98,0
4736344,2ND POPLIN JUNGLE FATIGUE JACKET_OLIVE,남성,124000,111600,,10,,False,outstanding,199,96,0
5392241,TEA-CORE LEATHER SPORTS JACKET_VINTAGE BLACK,남성,438000,438000,,0,,False,outstanding,5,92,0
5283169,50S WESTERN RIDER SELVEDGE JACKET_BLACK,남성,149000,134100,,10,,False,outstanding,42,96,0
1623333,V.S.C HOOD SWEAT(MARYS)_NAVY,공용,89000,80100,,10,,False,outstanding,3726,96,0
5283258,SELVEDGE DENIM 1ST JACKET_BLACK,남성,159000,143100,,10,,False,outstanding,24,100,0
5283245,SELVEDGE DENIM 1ST JACKET_L.BLUE,남성,169000,152100,,10,,False,outstanding,54,100,0
4423419,AUTHENTIC COMFORT HOOD ZIP SWEAT_3%MELANGE GRAY,남성,94000,84600,,10,,False,outstanding,124,96,0
5283190,W.W. II SELVEDGE STRAIGHT PANTS_MEDIUM BLUE,남성,138000,124200,,10,,False,outstanding,38,96,0
4261735,BACK SATIN FATIGUE PANTS (ORIGINAL FIT)_WASHED OLIVE,남성,104000,93600,,10,,False,outstanding,158,98,0
4261900,HENLEY NECK LONG SLEEVE TEE_VINTAGE CHARCOAL,남성,52000,46800,,10,,False,outstanding,428,98,0
4261377,TAPERED LOOSE FIT DENIM PANTS_L.BLUE,남성,108000,97200,,10,,False,outstanding,123,98,0
4721695,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_3%MELANGE GRAY,공용,84000,75600,,10,,False,outstanding,186,98,0
4262829,CORDUROY DRIZZLER JACKET_BROWN,남성,139000,125100,,10,,False,outstanding,54,96,0
5283165,50S RIDERS SELVEDGE ZIP PANTS_BLACK,남성,128000,115200,,10,,False,outstanding,38,96,0
5469574,N3B FLIGHT PARKA(WOOL INSULATION)_SAGE GREEN,남성,598000,538200,,10,,False,outstanding,0,0,0
5392231,1ST TYPE M-65 FIELD JACKET_OLIVE,남성,214000,192600,,10,,False,outstanding,3,94,0
5306431,USN UTILITY CHAMBRAY SHIRT_L.BLUE,남성,89000,80100,,10,,False,outstanding,32,96,0
4262827,CORDUROY DRIZZLER JACKET_BLACK,남성,139000,125100,,10,,False,outstanding,42,98,0
5353687,BRUSHED WOOL ROUND NECK CARDIGAN_GRAY,남성,108000,97200,,10,,False,outstanding,1,100,0
5312365,BACK SATIN FATIGUE PANTS (STRAIGHT FIT)_OLIVE GREEN,남성,104000,93600,,10,,False,outstanding,18,98,0
4423414,AUTHENTIC COMFORT HOOD ZIP SWEAT_BLACK,남성,94000,84600,,10,,False,outstanding,63,98,0
5441522,M-65 FISHTAIL PARKA_BLACK,남성,268000,241200,,10,,False,outstanding,2,100,0
2060994,REVERSE HEAVY HOOD SWEAT_3%MELANGE GRAY,공용,98000,98000,,0,,False,outstanding,4836,98,0
2060993,REVERSE HEAVY SWEAT_3%MELANGE GRAY,공용,89000,89000,,0,,False,outstanding,1243,98,0
4262830,USN DECK HOOK JACKET_NAVY,남성,248000,223200,,10,,False,outstanding,117,98,0
5312858,CORDUROY 2ND JACKET_BROWN,남성,119000,107100,,10,,False,outstanding,10,96,0
5312899,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_BLACK,남성,134000,120600,,10,,False,outstanding,9,98,0
4423378,AUTHENTIC COMFORT SWEAT_3%MELANGE GRAY,남성,74000,66600,,10,,False,outstanding,262,98,0
3459378,VINTAGE WASHING LONG SLEEVE TEE_VINTAGE CHARCOAL,공용,48000,43200,,10,,False,outstanding,1069,98,0
5312819,VINTAGE OXFORD BD SHIRT_OFF WHITE,남성,89000,80100,,10,,False,outstanding,4,100,0
5316168,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_NAVY,남성,134000,120600,,10,,False,outstanding,9,100,0
5312602,MOT SERIES LONG SLEEVE(TAIL GUNNER)_PIGMENT CHARCOAL,남성,74000,66600,,10,,False,outstanding,21,98,0
3887394,MIL SERIES LONG SLEEVE(VIET NAM TIGER)_PIGMENT KHAKI,공용,74000,66600,,10,,False,outstanding,271,100,0
5312798,VINTAGE CHECK BD SHIRT_BLUE CHECK,남성,108000,97200,,10,,False,outstanding,3,100,0
5312507,MIL SERIES LONG SLEEVE(MID WAY)_BLACK,남성,65000,58500,,10,,False,outstanding,22,96,0
5296571,HENLEY NECK LONG SLEEVE TEE_BLACK,남성,52000,46800,,10,,False,outstanding,26,96,0
